State / Union territory (UT),Area (km2),Region,National Share (%)
Andhra Pradesh,162970,Southern,4.87
Arunachal Pradesh,83743,Northeastern,2.54
Assam,78438,Northeastern,2.38
Bihar,94163,Eastern,2.86
Chandigarh,114,Northern,0.003
Chhattisgarh,135191,Central,4.11
Dadra and Nagar Haveli and Daman and Diu,603,Western,0.01
Delhi,1483,Northern,0.04
Goa,3702,Western,0.11
Gujarat,196024,Western,5.96
Haryana,44212,Northern,1.34
Himachal Pradesh,55673,Northern,1.7
Jammu and Kashmir,42241,Northern,1.28
Jharkhand,79714,Eastern,2.42
Karnataka,191791,Southern,5.83
Kerala,38863,Southern,1.18
Ladakh,59146,Northern,1.8
Madhya Pradesh,308350,Central,9.37
Maharashtra,307713,Western,9.36
Manipur,22327,Northeastern,0.68
Meghalaya,22429,Northeastern,0.68
Mizoram,21081,Northeastern,0.64
Nagaland,16579,Northeastern,0.5
Odisha,155707,Eastern,4.73
Puducherry,492,Southern,0.01
Punjab,50362,Northern,1.53
Rajasthan,342239,Northern,10.55
Sikkim,7096,Northeastern,0.21
Tamil Nadu,130058,Southern,3.95
Telangana,112077,Southern,3.49
Tripura,10486,Northeastern,0.31
Uttar Pradesh,240928,Northern,7.33
Uttarakhand,53483,Northern,1.62
West Bengal,88752,Eastern,2.7
